# bin,count
2758,15
2759,12
2760,21
2761,7
2762,14
2763,10
2764,5
2765,7
2766,9
2767,5
2768,10
2769,7
2770,11
2771,11
2772,14
2773,14
2774,7
2775,12
2776,8
2777,10
2778,11
2779,13
2780,10
2781,13
2782,13
2783,10
2784,16
2785,10
2786,10
2787,17
2788,13
2789,6
2790,10
2791,5
2792,18
2793,11
2794,12
2795,11
2796,17
2797,15
2798,14
2799,15
2800,9
2801,10
2802,12
2803,13
2804,10
2805,11
2806,10
2807,19
2808,10
2809,11
2810,11
2811,17
2812,11
2813,19
2814,8
2815,12
2816,7
2817,16
2818,8
2819,11
2820,11
2821,11
2822,15
2823,9
2824,15
2825,20
2826,8
2827,9
2828,12
2829,11
2830,13
2831,8
2832,10
2833,7
2834,11
2835,12
2836,15
2837,5
2838,10
2839,14
2840,22
2841,11
2842,12
2843,16
2844,15
2845,16
2846,18
2847,14
2848,9
2849,12
2850,12
2851,9
2852,12
2853,1
2854,15
2855,7
2856,15
2857,12
2858,8
2859,7
2860,12
2861,8
2862,12
2863,7
2864,11
2865,14
2866,9
2867,10
2868,7
2869,9
2870,7
2871,12
2872,14
2873,14
2874,7
2875,11
2876,8
2877,11
2878,11
2879,4
2880,13
2881,15
2882,14
2883,11
2884,11
2885,13
2886,6
2887,13
2888,11
2889,3
2890,8
2891,13
2892,17
2893,12
2894,12
2895,13
2896,11
2897,7
2898,11
2899,5
2900,4
2901,6
2902,9
2903,15
2904,14
2905,11
2906,16
2907,16
2908,12
2909,8
2910,9
2911,6
2912,11
2913,14
2914,12
2915,6
2916,11
2917,8
2918,9
2919,11
2920,3
2921,10
2922,9
2923,15
2924,11
2925,13
2926,11
2927,12
2928,12
2929,11
2930,8
2931,11
2932,4
2933,12
2934,10
2935,12
2936,2
2937,7
2938,13
2939,13
2940,10
2941,4
2942,14
2943,15
2944,11
2945,16
2946,6
2947,13
2948,8
